AMD Athlon 64 3500+,65.0,45.0,77.0
AMD Athlon 200GE,14.0,35.0,192.0
Intel Xeon E5-2603 v2,22.0,80.0,160.0
AMD Phenom II X4 980 BE,45.0,125.0,258.0
Intel Xeon E5-2470 v2,22.0,95.0,160.0
AMD Phenom X4 9750 (125W),65.0,125.0,285.0
Intel Pentium D 930,65.0,130.0,140.0
AMD Athlon 64 X2 4200+,90.0,89.0,156.0
AMD Sempron 2800+,130.0,62.0,80.0
Intel Core i7-3632QM,22.0,35.0,160.0
AMD C-70,40.0,9.0,75.0
Intel Core i5-8269U,14.0,28.0,123.0
AMD Phenom X4 9600 BE,65.0,95.0,285.0
Intel Pentium 3560Y,22.0,12.0,118.0
Intel Pentium 4 506,90.0,84.0,109.0
Intel Xeon E5-2430 v2,22.0,80.0,160.0
AMD Athlon 64 X2 4800+,90.0,110.0,199.0
Intel Core i5-3427U,22.0,17.0,118.0
AMD Athlon 1100,180.0,60.0,120.0
Intel Core i7-975,45.0,130.0,263.0
AMD Athlon 64 3500+,90.0,67.0,115.0
Intel Pentium 4 HT 672,90.0,84.0,109.0
Intel Pentium D 830,90.0,130.0,206.0
AMD EPYC 7371,14.0,170.0,213.0
Intel Pentium 4 HT 550,90.0,115.0,109.0
Intel Pentium III 1266S,130.0,30.0,80.0
AMD Sempron 140,45.0,45.0,117.0
AMD EPYC 7501,14.0,170.0,213.0
Intel Atom E680,45.0,4.0,26.0
Intel Xeon E5-2690 v2,22.0,130.0,160.0
Intel Xeon Phi 7120A,22.0,300.0,350.0
AMD Phenom X4 9600,65.0,95.0,285.0
Intel Core i3-2330M,32.0,35.0,149.0
AMD E2-3200,32.0,65.0,228.0
AMD Turion 64 MT-34,90.0,25.0,125.0
Intel Pentium III  866,180.0,38.0,80.0
Intel Core 2 Quad Q9550S,45.0,65.0,107.0
Intel Core i7-4500U,22.0,15.0,118.0
AMD Ryzen 5 1400,14.0,65.0,192.0
AMD A4-3300M,32.0,35.0,228.0
Intel Xeon 3.20,130.0,97.0,237.0
Intel Core 2 Extreme QX6700,65.0,130.0,143.0
AMD A6-3600,32.0,65.0,228.0
Intel Xeon Phi 7120X,22.0,300.0,350.0
Intel Core i9-10900K,14.0,125.0,206.0
Intel Pentium 2129Y,22.0,10.0,118.0
AMD Athlon 64 X2 5600+,90.0,89.0,220.0
AMD Athlon II X4 640,45.0,95.0,169.0
Intel Atom Z515,45.0,1.0,26.0
AMD EPYC 7302,7.0,155.0,74.0
AMD Ryzen 9 5900HX,7.0,45.0,156.0
AMD EPYC 7502,7.0,180.0,74.0
AMD Athlon 64 4000+,90.0,62.0,230.0
Intel Pentium III 1400S,130.0,32.0,80.0
Intel Core i7-9850HE,14.0,45.0,149.0
AMD Mobile Athlon 64 3400+,130.0,82.0,193.0
Intel Xeon E5-2620 v2,22.0,80.0,160.0
Intel Core i9-10850K,14.0,125.0,206.0
Intel Core i7-3555LE,22.0,25.0,118.0
Intel Core i3-8130U,14.0,15.0,123.0
AMD Athlon 64 3500+,90.0,67.0,156.0
Intel Atom N2600,32.0,4.0,66.0
AMD Ryzen Threadripper PRO 3955WX,7.0,280.0,74.0
Intel Celeron 2980U,22.0,15.0,118.0
